Name,University Name,Age,course,How frequently do you use AI?,Which Generative AI tool do you use?,Should curriculum be modified keeping AI in mind?
Aarohi Verma,Manipal Univ.,18,science,Often (At least once a week),Elicit,No
Sai Bose,IIsc,22,commerce,Rarely (A few times a semester at most),Midjourney,Yes
Vihaan Mishra,Univ. Of Delhi,24,arts,Never,DALL-E,No
Aadhya Iyer,IIsc,22,others,Often (At least once a week),DALL-E,Yes
Aditya Bose,Anna Univ.,21,commerce,Never,Research Rabbit,Yes
Ishaan Reddy,Anna Univ.,19,arts,Often (At least once a week),ChatGPT,No
Aarav Chopra,Univ. Of Delhi,23,others,Never,DALL-E,No
Anika Singh,Univ. Of Delhi,18,arts,Often (At least once a week),Elicit,Yes
Saanvi Rao,Jadavpur Univ.,18,science,Sometimes (At least once a month),ChatGPT,Yes
Sai Chopra,Anna Univ.,22,science,Sometimes (At least once a month),Midjourney,Yes
Ayaan Reddy,IIsc,20,science,Rarely (A few times a semester at most),ChatGPT,Yes
Diya Nair,Univ. Of Delhi,22,commerce,Rarely (A few times a semester at most),Grammarly,Yes
Shanaya Bose,IIsc,19,others,Rarely (A few times a semester at most),Bing AI,Yes
Aarav Sharma,Anna Univ.,18,others,Sometimes (At least once a month),Grammarly,Yes
Shanaya Gupta,Anna Univ.,25,arts,Never,Midjourney,Yes
Ananya Kapoor,Univ. Of Delhi,18,commerce,Sometimes (At least once a month),Research Rabbit,Yes
Reyansh Gupta,Univ. Of Delhi,22,science,Never,ChatGPT,No
Arjun Joshi,Jadavpur Univ.,20,science,Never,ChatGPT,No
Shanaya Reddy,Anna Univ.,25,others,Rarely (A few times a semester at most),ChatGPT,Yes
Shanaya Joshi,VIT(Vellore),21,commerce,Sometimes (At least once a month),Bing AI,No
Vihaan Mehta,Manipal Univ.,21,commerce,Never,ChatGPT,No
Aadhya Gupta,IIsc,25,science,Sometimes (At least once a month),Midjourney,Yes
Diya Sharma,Univ. Of Delhi,20,science,Sometimes (At least once a month),Research Rabbit,Yes
Aarohi Verma,IIsc,24,science,Sometimes (At least once a month),ChatGPT,No
Sai Desai,Anna Univ.,18,arts,Sometimes (At least once a month),Others,No
Krishna Kapoor,Anna Univ.,20,arts,Often (At least once a week),Bing AI,Yes
Ayaan Joshi,Univ. Of Delhi,24,others,Sometimes (At least once a month),Others,No
Lakshmi Das,Univ. Of Delhi,21,others,Never,Midjourney,Yes
Vivaan Das,Jadavpur Univ.,18,others,Sometimes (At least once a month),Elicit,Yes
Ishaan Kapoor,Anna Univ.,24,others,Rarely (A few times a semester at most),Research Rabbit,No
Shanaya Singh,IIsc,20,science,Often (At least once a week),Elicit,No
Aditya Iyer,Univ. Of Delhi,24,commerce,Rarely (A few times a semester at most),Midjourney,No
Anika Singh,IIsc,25,arts,Rarely (A few times a semester at most),ChatGPT,No
Vivaan Verma,Anna Univ.,23,others,Often (At least once a week),ChatGPT,Yes
Ishaan Rao,Anna Univ.,20,commerce,Sometimes (At least once a month),ChatGPT,Yes
Vihaan Desai,Univ. Of Delhi,22,arts,Often (At least once a week),Others,No
Saanvi Mehta,Univ. Of Delhi,20,others,Rarely (A few times a semester at most),Elicit,Yes
Lakshmi Rao,Jadavpur Univ.,19,arts,Never,Elicit,maybe
Arjun Patel,Anna Univ.,19,science,Rarely (A few times a semester at most),DALL-E,No
Ishaan Joshi,VIT(Vellore),18,science,Sometimes (At least once a month),Grammarly,Yes
Ananya Chopra,Manipal Univ.,21,science,Rarely (A few times a semester at most),Grammarly,No
Reyansh Kumar,IIsc,23,commerce,Never,Others,No
Reyansh Das,Univ. Of Delhi,24,others,Often (At least once a week),DALL-E,Yes
Ananya Sharma,IIsc,21,others,Never,Research Rabbit,No
Lakshmi Verma,Anna Univ.,19,arts,Rarely (A few times a semester at most),Research Rabbit,No
Aarohi Mishra,Anna Univ.,23,commerce,Never,Midjourney,Yes
Vivaan Naidu,Univ. Of Delhi,21,science,Sometimes (At least once a month),Others,Yes
Arjun Mehta,Univ. Of Delhi,18,science,Rarely (A few times a semester at most),ChatGPT,No
Ira Iyer,Jadavpur Univ.,24,others,Often (At least once a week),DALL-E,Yes
Vihaan Kapoor,Anna Univ.,21,commerce,Rarely (A few times a semester at most),DALL-E,No
Sai Desai,IIsc,19,commerce,Rarely (A few times a semester at most),Midjourney,Yes
Vivaan Nair,Univ. Of Delhi,21,science,Never,ChatGPT,No
Aadhya Rao,IIsc,22,science,Never,ChatGPT,Yes
Arjun Gupta,Anna Univ.,19,science,Often (At least once a week),ChatGPT,No
Aarohi Mishra,Anna Univ.,23,arts,Often (At least once a week),ChatGPT,No
Ishaan Sharma,Univ. Of Delhi,23,arts,Often (At least once a week),ChatGPT,Yes
Krishna Mehta,Univ. Of Delhi,19,others,Often (At least once a week),ChatGPT,Yes
Aarav Pandey,Jadavpur Univ.,22,others,Rarely (A few times a semester at most),ChatGPT,No
Ishaan Joshi,Anna Univ.,21,others,Never,ChatGPT,No
Sai Nair,VIT(Vellore),20,others,Often (At least once a week),ChatGPT,No
Vihaan Nair,Manipal Univ.,23,science,Rarely (A few times a semester at most),ChatGPT,Yes
Ayaan Mishra,IIsc,25,commerce,Sometimes (At least once a month),ChatGPT,No
Krishna Naidu,Univ. Of Delhi,20,arts,Rarely (A few times a semester at most),ChatGPT,Yes
Anika Naidu,IIsc,18,others,Never,ChatGPT,No
Ananya Nair,Anna Univ.,18,commerce,Rarely (A few times a semester at most),ChatGPT,Yes
Reyansh Kapoor,Anna Univ.,24,arts,Never,ChatGPT,Yes
Saanvi Sharma,Univ. Of Delhi,25,others,Sometimes (At least once a month),ChatGPT,Yes
Pihu Pandey,Univ. Of Delhi,25,arts,Rarely (A few times a semester at most),ChatGPT,No
Diya Chopra,Jadavpur Univ.,25,science,Often (At least once a week),ChatGPT,No
Ayaan Pandey,Anna Univ.,20,science,Never,ChatGPT,No
Saanvi Naidu,IIsc,25,science,Often (At least once a week),ChatGPT,No
Pihu Verma,Univ. Of Delhi,22,commerce,Never,ChatGPT,Yes
Pihu Verma,IIsc,21,others,Rarely (A few times a semester at most),ChatGPT,Yes
Lakshmi Gupta,Anna Univ.,22,others,Often (At least once a week),ChatGPT,Yes
Anika Patel,Anna Univ.,24,arts,Never,ChatGPT,Yes
Diya Patel,Univ. Of Delhi,18,commerce,Sometimes (At least once a month),ChatGPT,No
Ayaan Pandey,Univ. Of Delhi,21,science,Sometimes (At least once a month),ChatGPT,No
Aarohi Das,Jadavpur Univ.,22,science,Rarely (A few times a semester at most),ChatGPT,No
Lakshmi Naidu,Anna Univ.,21,others,Sometimes (At least once a month),ChatGPT,Yes
Aarav Reddy,VIT(Vellore),24,commerce,Sometimes (At least once a month),ChatGPT,No
Ira Das,Manipal Univ.,21,commerce,Sometimes (At least once a month),ChatGPT,Yes
Ayaan Gupta,IIsc,19,science,Never,ChatGPT,No
Sai Naidu,Univ. Of Delhi,22,science,Never,ChatGPT,Yes
Ira Patel,IIsc,23,science,Sometimes (At least once a month),ChatGPT,Yes
Saanvi Bose,Anna Univ.,24,arts,Sometimes (At least once a month),ChatGPT,No
Aarohi Iyer,Anna Univ.,21,arts,Rarely (A few times a semester at most),ChatGPT,No
Vivaan Joshi,Univ. Of Delhi,22,others,Sometimes (At least once a month),ChatGPT,No
Sai Kumar,Univ. Of Delhi,18,others,Never,ChatGPT,No
Arjun Mehta,Jadavpur Univ.,20,others,Never,ChatGPT,maybe
Vivaan Iyer,Anna Univ.,23,others,Often (At least once a week),ChatGPT,No
Vihaan Rao,IIsc,23,science,Sometimes (At least once a month),ChatGPT,Yes
Aadhya Reddy,Univ. Of Delhi,21,commerce,Rarely (A few times a semester at most),ChatGPT,No
Ananya Singh,IIsc,19,arts,Never,ChatGPT,No
Saanvi Reddy,Anna Univ.,20,others,Rarely (A few times a semester at most),ChatGPT,No
Saanvi Joshi,Anna Univ.,19,commerce,Never,ChatGPT,Yes
Vivaan Pandey,Univ. Of Delhi,21,arts,Often (At least once a week),ChatGPT,No
Anika Iyer,Univ. Of Delhi,18,others,Never,ChatGPT,Yes
Saanvi Joshi,Jadavpur Univ.,23,arts,Often (At least once a week),ChatGPT,Yes
Pihu Mehta,Anna Univ.,18,science,Rarely (A few times a semester at most),ChatGPT,No
Vihaan Das,VIT(Vellore),18,science,Sometimes (At least once a month),ChatGPT,No
Sai Kapoor,Manipal Univ.,21,science,Sometimes (At least once a month),ChatGPT,No
Arjun Sharma,IIsc,21,commerce,Rarely (A few times a semester at most),ChatGPT,Yes
Sai Patel,Univ. Of Delhi,25,others,Sometimes (At least once a month),ChatGPT,Yes
Aditya Verma,IIsc,18,others,Sometimes (At least once a month),ChatGPT,Yes
Aarav Sharma,Anna Univ.,20,arts,Never,ChatGPT,No
Pihu Chopra,Anna Univ.,22,commerce,Sometimes (At least once a month),ChatGPT,No
Saanvi Verma,Univ. Of Delhi,18,science,Sometimes (At least once a month),ChatGPT,Yes
Sai Kumar,Univ. Of Delhi,23,science,Never,ChatGPT,No
Lakshmi Iyer,Jadavpur Univ.,24,others,Rarely (A few times a semester at most),ChatGPT,No
Vihaan Mehta,Anna Univ.,19,commerce,Sometimes (At least once a month),ChatGPT,No
Aarav Desai,Univ. Of Delhi,18,commerce,Often (At least once a week),ChatGPT,Yes
Lakshmi Kapoor,Univ. Of Delhi,21,science,Sometimes (At least once a month),ChatGPT,No
Ishaan Nair,Jadavpur Univ.,19,science,Sometimes (At least once a month),ChatGPT,No
Aarav Gupta,Anna Univ.,24,science,Often (At least once a week),ChatGPT,No
Saanvi Chopra,IIsc,20,arts,Rarely (A few times a semester at most),ChatGPT,No
Krishna Chopra,Univ. Of Delhi,23,arts,Never,ChatGPT,Yes
Lakshmi Das,IIsc,20,others,Sometimes (At least once a month),ChatGPT,Yes
Vihaan Pandey,Anna Univ.,18,others,Rarely (A few times a semester at most),ChatGPT,No
Shanaya Patel,Anna Univ.,20,others,Sometimes (At least once a month),ChatGPT,Yes
Vihaan Joshi,Univ. Of Delhi,19,others,Rarely (A few times a semester at most),ChatGPT,Yes
Aarav Desai,Univ. Of Delhi,21,science,Sometimes (At least once a month),ChatGPT,Yes
Ishaan Verma,Jadavpur Univ.,22,commerce,Rarely (A few times a semester at most),ChatGPT,maybe
Vivaan Gupta,Anna Univ.,24,arts,Sometimes (At least once a month),ChatGPT,maybe
Vihaan Joshi,VIT(Vellore),22,others,Often (At least once a week),ChatGPT,maybe
Aadhya Pandey,Manipal Univ.,18,commerce,Sometimes (At least once a month),ChatGPT,Yes
Sai Nair,IIsc,20,arts,Never,ChatGPT,Yes
Aadhya Mehta,Univ. Of Delhi,24,others,Often (At least once a week),ChatGPT,No
Arjun Gupta,IIsc,25,arts,Rarely (A few times a semester at most),ChatGPT,No
Vivaan Mishra,Anna Univ.,23,science,Never,ChatGPT,Yes
Lakshmi Mishra,Anna Univ.,23,science,Rarely (A few times a semester at most),ChatGPT,Yes
Pihu Verma,Univ. Of Delhi,23,science,Never,ChatGPT,No
Ishaan Das,Univ. Of Delhi,20,commerce,Often (At least once a week),ChatGPT,Yes
Krishna Naidu,Jadavpur Univ.,23,others,Rarely (A few times a semester at most),ChatGPT,Yes
Ananya Singh,Anna Univ.,18,others,Sometimes (At least once a month),ChatGPT,No
Ishaan Patel,Univ. Of Delhi,20,arts,Often (At least once a week),ChatGPT,No
Aarohi Bose,Univ. Of Delhi,23,commerce,Sometimes (At least once a month),ChatGPT,Yes
Ayaan Singh,Jadavpur Univ.,18,science,Never,ChatGPT,No
Vivaan Singh,Anna Univ.,25,science,Often (At least once a week),ChatGPT,No
Krishna Verma,IIsc,18,others,Never,ChatGPT,No
Lakshmi Bose,Univ. Of Delhi,19,commerce,Often (At least once a week),ChatGPT,Yes
Aditya Kapoor,IIsc,19,commerce,Rarely (A few times a semester at most),ChatGPT,No
Krishna Sharma,Anna Univ.,19,science,Never,ChatGPT,Yes
Vihaan Bose,Anna Univ.,22,science,Rarely (A few times a semester at most),ChatGPT,No
Ishaan Kapoor,Univ. Of Delhi,20,science,Often (At least once a week),ChatGPT,No
Pihu Desai,Univ. Of Delhi,25,arts,Sometimes (At least once a month),ChatGPT,No
Ayaan Pandey,Jadavpur Univ.,20,arts,Often (At least once a week),ChatGPT,No
Vihaan Patel,Anna Univ.,19,others,Sometimes (At least once a month),ChatGPT,No
Anika Mehta,VIT(Vellore),19,others,Never,ChatGPT,Yes
Saanvi Nair,Manipal Univ.,18,others,Rarely (A few times a semester at most),ChatGPT,No
Krishna Reddy,IIsc,21,others,Never,ChatGPT,Yes
Anika Sharma,Univ. Of Delhi,21,science,Never,ChatGPT,Yes
Diya Mehta,IIsc,24,commerce,Often (At least once a week),ChatGPT,Yes
Aadhya Pandey,Anna Univ.,21,arts,Never,ChatGPT,No
Vihaan Desai,Anna Univ.,23,others,Sometimes (At least once a month),ChatGPT,No
Aditya Iyer,Univ. Of Delhi,20,commerce,Rarely (A few times a semester at most),ChatGPT,maybe
Ananya Das,Univ. Of Delhi,19,arts,Rarely (A few times a semester at most),ChatGPT,maybe
Saanvi Joshi,Jadavpur Univ.,19,others,Never,ChatGPT,maybe
Diya Chopra,Anna Univ.,20,arts,Often (At least once a week),ChatGPT,maybe
Aarav Rao,Univ. Of Delhi,19,science,Rarely (A few times a semester at most),ChatGPT,maybe
Pihu Nair,Univ. Of Delhi,20,science,Rarely (A few times a semester at most),ChatGPT,maybe
Lakshmi Naidu,Jadavpur Univ.,19,science,Often (At least once a week),ChatGPT,maybe
Aarav Verma,Anna Univ.,22,commerce,Rarely (A few times a semester at most),ChatGPT,maybe
Ananya Mehta,IIsc,19,others,Often (At least once a week),ChatGPT,maybe
Aarav Naidu,Univ. Of Delhi,22,others,Never,ChatGPT,maybe
Saanvi Bose,IIsc,18,arts,Often (At least once a week),ChatGPT,maybe
Ishaan Kumar,Anna Univ.,21,commerce,Often (At least once a week),ChatGPT,maybe
Arjun Mehta,Anna Univ.,21,science,Often (At least once a week),ChatGPT,maybe
Pihu Chopra,Univ. Of Delhi,18,science,Rarely (A few times a semester at most),ChatGPT,maybe
Lakshmi Joshi,Univ. Of Delhi,23,others,Sometimes (At least once a month),ChatGPT,maybe
Sai Bose,Jadavpur Univ.,22,commerce,Often (At least once a week),ChatGPT,maybe
Shanaya Rao,Anna Univ.,25,commerce,Sometimes (At least once a month),ChatGPT,maybe
Vihaan Mishra,VIT(Vellore),24,science,Often (At least once a week),ChatGPT,maybe
Ishaan Joshi,Manipal Univ.,21,science,Sometimes (At least once a month),ChatGPT,maybe
Ayaan Kumar,IIsc,18,science,Often (At least once a week),ChatGPT,maybe
Pihu Gupta,Univ. Of Delhi,21,arts,Never,ChatGPT,maybe
Sai Das,IIsc,21,arts,Rarely (A few times a semester at most),ChatGPT,maybe
Aarav Patel,Anna Univ.,24,others,Often (At least once a week),ChatGPT,maybe
Ananya Reddy,Anna Univ.,23,others,Sometimes (At least once a month),ChatGPT,maybe
Arjun Singh,Univ. Of Delhi,19,others,Sometimes (At least once a month),ChatGPT,maybe
Krishna Rao,Univ. Of Delhi,21,others,Rarely (A few times a semester at most),ChatGPT,maybe
Sai Verma,Jadavpur Univ.,19,science,Sometimes (At least once a month),ChatGPT,maybe
Shanaya Kumar,Anna Univ.,20,commerce,Sometimes (At least once a month),ChatGPT,maybe
Aarav Pandey,Univ. Of Delhi,21,arts,Rarely (A few times a semester at most),ChatGPT,maybe
Krishna Gupta,Univ. Of Delhi,19,others,Never,ChatGPT,maybe
Aarohi Patel,Jadavpur Univ.,18,commerce,Sometimes (At least once a month),ChatGPT,maybe
Shanaya Gupta,Anna Univ.,19,arts,Never,ChatGPT,maybe
Ishaan Mishra,IIsc,23,others,Sometimes (At least once a month),ChatGPT,maybe
Lakshmi Nair,Univ. Of Delhi,24,arts,Rarely (A few times a semester at most),ChatGPT,maybe
Ananya Verma,IIsc,24,science,Sometimes (At least once a month),ChatGPT,maybe
Reyansh Reddy,Anna Univ.,24,science,Sometimes (At least once a month),ChatGPT,maybe
Shanaya Mishra,Anna Univ.,19,science,Rarely (A few times a semester at most),ChatGPT,maybe
Ishaan Gupta,Univ. Of Delhi,21,commerce,Often (At least once a week),ChatGPT,maybe
Vihaan Mehta,Univ. Of Delhi,19,others,Rarely (A few times a semester at most),ChatGPT,maybe
Sai Sharma,Jadavpur Univ.,21,others,Rarely (A few times a semester at most),ChatGPT,maybe
Diya Gupta,Anna Univ.,24,arts,Often (At least once a week),ChatGPT,maybe
Ayaan Reddy,VIT(Vellore),21,commerce,Rarely (A few times a semester at most),ChatGPT,maybe
Aadhya Singh,Manipal Univ.,18,science,Never,ChatGPT,maybe
Aditya Reddy,IIsc,20,science,Sometimes (At least once a month),ChatGPT,maybe
Vivaan Mishra,Univ. Of Delhi,25,others,Sometimes (At least once a month),ChatGPT,maybe
Sai Verma,IIsc,24,commerce,Often (At least once a week),ChatGPT,maybe
Diya Bose,Anna Univ.,21,commerce,Rarely (A few times a semester at most),ChatGPT,maybe
Lakshmi Verma,Anna Univ.,18,science,Often (At least once a week),ChatGPT,maybe
Ishaan Das,Univ. Of Delhi,23,science,Sometimes (At least once a month),ChatGPT,maybe
Sai Desai,Univ. Of Delhi,24,science,Rarely (A few times a semester at most),ChatGPT,maybe
Vihaan Verma,Jadavpur Univ.,21,arts,Sometimes (At least once a month),ChatGPT,maybe
Ishaan Singh,Anna Univ.,21,arts,Rarely (A few times a semester at most),ChatGPT,maybe
Shanaya Reddy,Univ. Of Delhi,24,others,Never,ChatGPT,maybe
Ananya Das,Univ. Of Delhi,22,others,Sometimes (At least once a month),ChatGPT,maybe
Arjun Bose,Jadavpur Univ.,22,others,Sometimes (At least once a month),ChatGPT,maybe
Lakshmi Iyer,Anna Univ.,19,others,Never,ChatGPT,maybe
Aarav Verma,IIsc,25,science,Rarely (A few times a semester at most),ChatGPT,No
Aarav Mehta,Univ. Of Delhi,24,commerce,Rarely (A few times a semester at most),ChatGPT,maybe
Aadhya Patel,IIsc,18,arts,Never,ChatGPT,maybe
Aarohi Pandey,Anna Univ.,24,others,Never,ChatGPT,maybe
Aadhya Rao,Anna Univ.,23,commerce,Never,ChatGPT,maybe
Ananya Kumar,Univ. Of Delhi,22,arts,Rarely (A few times a semester at most),ChatGPT,maybe
Aditya Mehta,Univ. Of Delhi,20,others,Often (At least once a week),Elicit,maybe
Anika Naidu,Jadavpur Univ.,24,arts,Rarely (A few times a semester at most),Bing AI,Yes
Shanaya Rao,Anna Univ.,20,science,Often (At least once a week),Bing AI,Yes
Sai Nair,VIT(Vellore),25,science,Never,Research Rabbit,Yes
Aarav Das,Manipal Univ.,22,science,Often (At least once a week),Elicit,Yes
Diya Reddy,IIsc,22,commerce,Often (At least once a week),Bing AI,Yes
Krishna Reddy,Univ. Of Delhi,20,others,Often (At least once a week),Midjourney,Yes
Ayaan Patel,IIsc,20,others,Never,Bing AI,Yes
Saanvi Desai,Anna Univ.,20,arts,Sometimes (At least once a month),Elicit,Yes
Aadhya Kapoor,Anna Univ.,24,commerce,Never,Midjourney,Yes
Sai Patel,Univ. Of Delhi,21,science,Rarely (A few times a semester at most),Elicit,Yes
Krishna Gupta,Univ. Of Delhi,18,science,Never,Grammarly,Yes
Ananya Patel,Jadavpur Univ.,19,others,Often (At least once a week),Bing AI,Yes
Aadhya Nair,Anna Univ.,19,commerce,Often (At least once a week),Midjourney,Yes
Aditya Singh,Univ. Of Delhi,24,commerce,Never,Others,Yes
Aarohi Kumar,Univ. Of Delhi,23,science,Rarely (A few times a semester at most),DALL-E,Yes
Saanvi Pandey,Jadavpur Univ.,24,science,Rarely (A few times a semester at most),Grammarly,Yes
Pihu Gupta,Anna Univ.,18,science,Sometimes (At least once a month),Research Rabbit,Yes
Diya Desai,IIsc,23,arts,Sometimes (At least once a month),Elicit,Yes
Shanaya Das,Univ. Of Delhi,25,arts,Rarely (A few times a semester at most),Grammarly,Yes
Arjun Sharma,IIsc,18,others,Never,DALL-E,Yes
Krishna Sharma,Anna Univ.,19,others,Never,Elicit,Yes
Shanaya Mehta,Anna Univ.,19,others,Often (At least once a week),Elicit,Yes
Pihu Rao,Univ. Of Delhi,22,others,Often (At least once a week),Midjourney,Yes
Saanvi Kapoor,Univ. Of Delhi,18,science,Never,ChatGPT,Yes
Arjun Joshi,Jadavpur Univ.,20,commerce,Sometimes (At least once a month),ChatGPT,Yes
Vivaan Desai,Anna Univ.,20,arts,Often (At least once a week),Elicit,Yes
Ayaan Verma,VIT(Vellore),18,others,Sometimes (At least once a month),Bing AI,Yes
Aditya Singh,Manipal Univ.,22,commerce,Never,Bing AI,Yes
Sai Sharma,IIsc,19,arts,Rarely (A few times a semester at most),Bing AI,Yes
Shanaya Singh,Univ. Of Delhi,19,others,Sometimes (At least once a month),Grammarly,Yes
Aadhya Mehta,IIsc,20,arts,Never,Elicit,Yes
Diya Desai,Anna Univ.,24,science,Rarely (A few times a semester at most),Midjourney,Yes
Diya Das,Anna Univ.,19,science,Never,Elicit,Yes
Pihu Rao,Univ. Of Delhi,24,science,Rarely (A few times a semester at most),Midjourney,Yes
Lakshmi Naidu,Univ. Of Delhi,23,commerce,Sometimes (At least once a month),DALL-E,Yes
Anika Kumar,Jadavpur Univ.,24,others,Never,Research Rabbit,Yes
Reyansh Mishra,Anna Univ.,22,others,Never,Midjourney,Yes
Aarav Patel,Univ. Of Delhi,24,arts,Often (At least once a week),Grammarly,Yes
Aarav Bose,Univ. Of Delhi,24,commerce,Rarely (A few times a semester at most),Midjourney,Yes
Vihaan Joshi,Jadavpur Univ.,19,science,Rarely (A few times a semester at most),ChatGPT,Yes
Aarohi Rao,Anna Univ.,19,science,Sometimes (At least once a month),Research Rabbit,Yes
Pihu Desai,IIsc,18,others,Rarely (A few times a semester at most),Research Rabbit,Yes
Aarohi Naidu,Univ. Of Delhi,20,commerce,Never,Research Rabbit,Yes
Ayaan Pandey,IIsc,18,commerce,Often (At least once a week),Research Rabbit,Yes
Diya Reddy,Anna Univ.,19,science,Often (At least once a week),Elicit,Yes
Ishaan Pandey,Anna Univ.,19,science,Sometimes (At least once a month),ChatGPT,Yes
Aarav Reddy,Univ. Of Delhi,19,science,Often (At least once a week),Midjourney,Yes
Aditya Kapoor,Univ. Of Delhi,20,arts,Never,Grammarly,Yes
Ayaan Verma,Jadavpur Univ.,21,arts,Rarely (A few times a semester at most),Bing AI,Yes
Aditya Pandey,Anna Univ.,20,others,Often (At least once a week),DALL-E,Yes
Sai Kumar,VIT(Vellore),24,others,Rarely (A few times a semester at most),Grammarly,Yes
Ishaan Sharma,Manipal Univ.,23,others,Often (At least once a week),Grammarly,Yes
Krishna Mishra,IIsc,23,others,Often (At least once a week),Bing AI,Yes
Anika Kumar,Univ. Of Delhi,18,science,Sometimes (At least once a month),Bing AI,Yes
Sai Mishra,IIsc,20,commerce,Never,Others,Yes
Aarohi Reddy,Anna Univ.,19,arts,Often (At least once a week),Elicit,Yes
Ira Joshi,Anna Univ.,23,others,Rarely (A few times a semester at most),Others,Yes
Aarav Mehta,Univ. Of Delhi,25,commerce,Sometimes (At least once a month),ChatGPT,Yes
Aarav Iyer,Univ. Of Delhi,19,arts,Often (At least once a week),Midjourney,Yes
Diya Sharma,Jadavpur Univ.,24,others,Often (At least once a week),Bing AI,Yes
Aarohi Iyer,Anna Univ.,19,arts,Never,Midjourney,Yes
Ayaan Mehta,Univ. Of Delhi,21,science,Rarely (A few times a semester at most),Midjourney,Yes
Reyansh Gupta,Univ. Of Delhi,24,science,Never,Others,Yes
Ayaan Reddy,Jadavpur Univ.,23,science,Sometimes (At least once a month),Grammarly,Yes
Ira Chopra,Anna Univ.,24,commerce,Rarely (A few times a semester at most),Others,Yes
Aarohi Kapoor,IIsc,23,others,Often (At least once a week),Research Rabbit,Yes
Aadhya Naidu,Univ. Of Delhi,19,others,Often (At least once a week),Elicit,Yes
Aarohi Gupta,IIsc,20,arts,Never,Elicit,Yes
Ayaan Pandey,Anna Univ.,23,commerce,Never,Others,Yes
Aditya Mishra,Anna Univ.,18,science,Sometimes (At least once a month),Grammarly,Yes
Krishna Naidu,Univ. Of Delhi,25,science,Rarely (A few times a semester at most),Others,Yes
Lakshmi Bose,Univ. Of Delhi,24,others,Sometimes (At least once a month),Midjourney,Yes
Sai Singh,Jadavpur Univ.,23,commerce,Never,Research Rabbit,Yes
Aditya Verma,Anna Univ.,25,commerce,Never,DALL-E,Yes
Sai Nair,VIT(Vellore),25,science,Rarely (A few times a semester at most),Midjourney,Yes
Ayaan Sharma,Manipal Univ.,20,science,Rarely (A few times a semester at most),ChatGPT,Yes
Aarohi Kumar,IIsc,20,science,Sometimes (At least once a month),Grammarly,Yes
Ira Kumar,Univ. Of Delhi,18,arts,Rarely (A few times a semester at most),Elicit,Yes
Anika Singh,IIsc,22,arts,Never,Elicit,Yes
Shanaya Naidu,Anna Univ.,24,others,Rarely (A few times a semester at most),Elicit,Yes
Ayaan Verma,Anna Univ.,20,others,Often (At least once a week),Grammarly,Yes
Aditya Patel,Univ. Of Delhi,19,others,Often (At least once a week),Elicit,Yes
Krishna Patel,Univ. Of Delhi,22,others,Sometimes (At least once a month),Others,Yes
Ishaan Sharma,Jadavpur Univ.,21,science,Often (At least once a week),ChatGPT,Yes
